kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu,cuda_time_total_us,self_cuda_time_total_us,cuda_time_avg_us
cudaMemcpyAsync,319.1769999996868,319.1769999996868,22.79835714283477,14,0,0,0.0
Memcpy HtoD (Pageable -> Device),0,0,0.0,6,13.793000000270695,13.793000000270695,2.298833333378449
cudaStreamSynchronize,161299.74500000043,161299.74500000043,13441.645416666703,12,0,0,0.0
cudaLaunchKernel,1647547.8569999987,10256.350999998293,1859.5348273137683,886,0,0,0.0
Unrecognized,1698088.229000001,1698088.229000001,16647.9238137255,102,0,0,0.0
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,0,0.0,4,199.58400000041001,199.58400000041001,49.896000000102504
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,0.0,2,117.2170000000915,117.2170000000915,58.60850000004575
cudaStreamIsCapturing,204.5909999999858,204.5909999999858,1.5859767441859365,129,0,0,0.0
cudaMalloc,8863.24600000048,8863.24600000048,167.23105660378263,53,0,0,0.0
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,0.0,26,2086.175000000745,2086.175000000745,80.23750000002866
"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4, bool>(at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<bool, unsigned int>, unsigned int, float, at::PhiloxCudaState)",0,0,0.0,16,932.6410000008764,932.6410000008764,58.29006250005477
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul>)",0,0,0.0,2,6.911999999952968,6.911999999952968,3.455999999976484
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4>)",0,0,0.0,2,16.86400000017602,16.86400000017602,8.43200000008801
cudaHostAlloc,1251.724999999511,1251.724999999511,625.8624999997555,2,0,0,0.0
Memcpy DtoH (Device -> Pinned),0,0,0.0,6,14.047999999951571,14.047999999951571,2.3413333333252617
cudaFree,4373.37200000009,4373.37200000009,2186.686000000045,2,0,0,0.0
cudaDeviceGetAttribute,5.970000000088476,5.970000000088476,0.33166666667158196,18,0,0,0.0
cudaGetDriverEntryPoint,2.1929999999701977,2.1929999999701977,1.0964999999850988,2,0,0,0.0
cudaGetSymbolAddress,24670.118000000017,24506.451,24670.118000000017,1,0,0,0.0
cudaOccupancyMaxActiveBlocksPerMultiprocessor,23499.30800000101,333.25600000063423,166.6617588652554,141,0,0,0.0
volta_sgemm_128x64_tn,0,0,0.0,60,76669.89699999825,76669.89699999825,1277.8316166666375
"fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,0.0,12,4127.17000000074,4127.17000000074,343.930833333395
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0,0,0.0,72,5218.36699999962,5218.36699999962,72.47731944443916
volta_sgemm_128x128_tn,0,0,0.0,12,36508.451,36508.451,3042.3709166666667
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,0.0,12,2461.6319999999832,2461.6319999999832,205.1359999999986
cudaMemsetAsync,1034.4260000007926,1034.4260000007926,5.746811111115514,180,0,0,0.0
Memset (Device),0,0,0.0,180,245.59699999913573,245.59699999913573,1.3644277777729763
volta_sgemm_64x32_sliced1x4_tn,0,0,0.0,2,70.24000000022352,70.24000000022352,35.12000000011176
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",0,0,0.0,4,19.199999999953434,19.199999999953434,4.7999999999883585
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,0.0,2,5.890000000130385,5.890000000130385,2.9450000000651926
volta_sgemm_32x32_sliced1x4_tn,0,0,0.0,2,30.23999999987427,30.23999999987427,15.119999999937136
"void (anonymous namespace)::softmax_warp_forward<float, float, float, 1, true, false>(float*, float const*, int, int, int, bool const*, int, bool)",0,0,0.0,2,5.983000000240281,5.983000000240281,2.9915000001201406
"void at::native::(anonymous namespace)::nll_loss_forward_reduce_cuda_kernel_2d<float, float, long>(float*, float*, float const*, long const*, float const*, bool, long, long, long, long)",0,0,0.0,2,7.679999999934807,7.679999999934807,3.8399999999674037
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",0,0,0.0,4,10.17699999990873,10.17699999990873,2.5442499999771826
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0,0,0.0,220,3628.987999996869,3628.987999996869,16.495399999985768
"void at::native::(anonymous namespace)::nll_loss_backward_reduce_cuda_kernel_2d<float, long>(float*, float const*, long const*, float const*, float const*, bool, int, int, long, long)",0,0,0.0,2,6.7840000002179295,6.7840000002179295,3.3920000001089647
"void (anonymous namespace)::softmax_warp_backward<float, float, float, 1, true, false>(float*, float const*, float const*, int, int, int, bool const*)",0,0,0.0,2,5.632000000216067,5.632000000216067,2.8160000001080334
volta_sgemm_32x32_sliced1x4_nn,0,0,0.0,2,19.61699999985285,19.61699999985285,9.808499999926426
volta_sgemm_128x32_nt,0,0,0.0,2,19.487999999895692,19.487999999895692,9.743999999947846
