kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu,cuda_time_total_us,self_cuda_time_total_us,cuda_time_avg_us
cudaMemcpyAsync,243.46399999934147,243.46399999934147,17.390285714238676,14,0,0,0.0
Memcpy HtoD (Pageable -> Device),0,0,0.0,6,6.911999999772888,6.911999999772888,1.151999999962148
cudaStreamSynchronize,116497.10799999957,116497.10799999957,9708.092333333298,12,0,0,0.0
cudaLaunchKernel,1697997.1250000028,9147.59500000396,1916.4753103837504,886,0,0,0.0
Unrecognized,1873208.4879999987,1873208.4879999987,17185.39897247705,109,0,0,0.0
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,0,0.0,4,121.85599999988335,121.85599999988335,30.463999999970838
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,0.0,2,66.91099999967264,66.91099999967264,33.45549999983632
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,0.0,26,1329.657000000414,1329.657000000414,51.14065384616977
cudaStreamIsCapturing,185.9070000014035,185.9070000014035,1.4300538461646424,130,0,0,0.0
"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4, bool>(at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<bool, unsigned int>, unsigned int, float, at::PhiloxCudaState)",0,0,0.0,16,473.7250000006752,473.7250000006752,29.6078125000422
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul>)",0,0,0.0,2,7.424000000173692,7.424000000173692,3.712000000086846
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4>)",0,0,0.0,2,17.53500000014901,17.53500000014901,8.767500000074506
cudaHostAlloc,1212.6550000001444,1212.6550000001444,606.3275000000722,2,0,0,0.0
Memcpy DtoH (Device -> Pinned),0,0,0.0,6,13.758000000030734,13.758000000030734,2.2930000000051223
cudaMalloc,7761.009000001475,7761.009000001475,143.7223888889162,54,0,0,0.0
cudaFree,4427.142999999924,4427.142999999924,2213.571499999962,2,0,0,0.0
cudaDeviceGetAttribute,5.61200000019744,5.61200000019744,0.3117777777887467,18,0,0,0.0
cudaGetDriverEntryPoint,1.8140000000130385,1.8140000000130385,0.9070000000065193,2,0,0,0.0
cudaGetSymbolAddress,24719.378999999957,24552.295000000042,24719.378999999957,1,0,0,0.0
cudaOccupancyMaxActiveBlocksPerMultiprocessor,30753.738999996334,386.759999996284,133.71190869563623,230,0,0,0.0
cudaMemsetAsync,1503.5120000020834,1503.5120000020834,5.408316546770084,278,0,0,0.0
Memset (Device),0,0,0.0,278,374.17599999986123,374.17599999986123,1.3459568345318749
volta_sgemm_128x64_tn,0,0,0.0,48,25020.50699999882,25020.50699999882,521.2605624999754
"fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,0.0,12,2689.653000000166,2689.653000000166,224.13775000001382
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0,0,0.0,72,2660.0140000007814,2660.0140000007814,36.94463888889974
volta_sgemm_128x128_tn,0,0,0.0,24,41552.75,41552.75,1731.3645833333333
