batch_idx,memory_cpu_mb,memory_gpu_mb,batch_size,sample_output
0,1587.0546875,157.9765625,4,' I'
1,1607.82421875,157.9765625,4,""" I'm not."""
2,2005.16015625,157.9765625,4,'真真真真真真真真真真真真真真真真真真真真真真真真真'
3,2005.28515625,157.9765625,4,' I'
4,2005.28515625,157.9765625,4,''
5,2005.28515625,157.9765625,4,'真真真真真真真真真真真真真真真真真真真真真真真真真'
6,2005.28515625,157.9765625,4,''
7,2005.28515625,157.9765625,4,""" I'm not."""
8,2005.28515625,157.9765625,4,''
9,2005.28515625,157.9765625,4,'欸'
10,2005.28515625,157.9765625,4,''
11,2005.28515625,157.9765625,4,''
12,2005.28515625,157.9765625,4,' I'
13,2005.28515625,157.9765625,4,''
14,2005.28515625,157.9765625,4,""" I'm not."""
15,2005.28515625,157.9765625,4,''
16,2005.28515625,157.9765625,4,''
17,2005.28515625,157.9765625,4,''
18,2005.28515625,157.9765625,4,''
19,2005.28515625,157.9765625,4,''
20,2005.28515625,157.9765625,4,'真'
21,2005.28515625,157.9765625,4,' I'
22,2005.28515625,157.9765625,4,' I'
23,2005.28515625,157.9765625,4,' I'
24,2005.28515625,157.9765625,4,""" I'm not."""
25,2005.28515625,157.9765625,4,''
26,2005.28515625,157.9765625,4,""" I'm not."""
27,2005.28515625,157.9765625,4,' I'
28,2005.28515625,157.9765625,4,'真真真真真真真真真真真真真真真真真真真真真真真真真'
29,2005.28515625,157.9765625,4,""" I'm not."""
30,2005.28515625,157.9765625,4,''
31,2005.28515625,157.9765625,4,''
32,2005.28515625,157.9765625,4,''
33,2005.28515625,157.9765625,4,''
34,2005.28515625,157.97607421875,4,' I'
35,2005.28515625,157.9765625,4,""" I'm not"""
36,2005.28515625,157.9765625,4,'誓'
37,2005.28515625,157.9765625,4,''
38,2005.28515625,157.9765625,4,''
39,2005.28515625,157.9765625,4,''
40,2005.28515625,157.97607421875,4,'哎呀'
41,2005.28515625,157.9765625,4,''
42,2005.28515625,157.9765625,4,''
43,2005.28515625,157.9765625,4,""" I'm not."""
44,2005.28515625,157.9765625,4,' I'
45,2005.28515625,157.9765625,4,""" I'm not."""
46,2005.28515625,157.9765625,4,''
47,2005.28515625,157.9765625,4,' I'
48,2005.28515625,157.9765625,4,''
49,2005.28515625,157.9765625,4,' I'
50,2005.28515625,157.9765625,4,''
51,2005.28515625,157.9765625,4,'真真真真真真真真真真真真真真真真真真真真真真真真真'
52,2005.28515625,157.9765625,4,' I'
53,2005.28515625,157.9765625,4,'哎呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀'
54,2005.28515625,157.9765625,4,''
55,2005.28515625,157.9765625,4,''
56,2005.28515625,157.9765625,4,''
57,2005.28515625,157.9765625,4,''
58,2005.28515625,157.9765625,4,'真'
59,2005.28515625,157.9765625,4,''
60,2005.28515625,157.9765625,4,""" I'm not."""
61,2005.28515625,157.97607421875,4,""" I'm not."""
62,2005.28515625,157.9765625,4,'真真真真真真真真真真真真真真真真真真真真真真真真真'
63,2005.28515625,157.9765625,4,''
