kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,batch_size
ProfilerStep*,1987603.66,341418.49399999226,1363009.920999999,0.0,2,16
aten::empty,39783.18599999948,39188.65999999948,0,0,6771,16
aten::random_,23.922999999999774,23.922999999999774,0,0,1,16
aten::item,499014.9439999976,804.9499999972804,397.1469999999972,0.0,435,16
aten::_local_scalar_dense,498209.9940000003,2117.3830000008593,397.1469999999972,397.1469999999972,435,16
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,55337.70800000003,43801.73200000003,0,0,2,16
cudaPointerGetAttributes,43.62900000001537,40.79700000002049,0,0,6,16
cudaHostAlloc,41078.88200000001,41070.72300000004,0,0,5,16
aten::to,251607.77799999848,507.72199999712757,2651.0879999989847,0.0,500,16
aten::_to_copy,251100.05600000138,1430.7750000028755,2651.0879999989847,0.0,204,16
aten::empty_strided,2018.396999999124,2018.396999999124,0,0,374,16
aten::copy_,269754.76900000236,7195.082000003604,53299.03899999938,53294.65499999942,876,16
cudaMemcpyAsync,10354.565999997954,10354.565999997954,0,0,922,16
ProfilerStep*,0,0,1878829.356,1878829.356,2,16
Memcpy HtoD (Pinned -> Device),0,0,2522.32100000004,2522.32100000004,2,16
aten::slice,4339.719000001263,3578.336000000563,0,0,704,16
aten::as_strided,7653.907000002961,7653.907000002961,0,0,7438,16
aten::ones,725.8670000002603,192.10500000038883,18.014999999810243,0.0,10,16
aten::fill_,4428.453000000925,2039.0240000010672,381.2460000011197,381.2460000011197,288,16
cudaLaunchKernel,474147.61299999536,101643.71699999527,8259.370000000781,0.0,8852,16
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,38.910000000178115,38.910000000178115,26,16
aten::mul,3259.7709999997605,1698.7339999992546,226.65400000175578,223.35800000166637,140,16
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,4.863999999972293,4.863999999972293,2,16
aten::conv1d,13065.268000000127,66.99900000003981,40920.61800000041,0.0,8,16
aten::convolution,12998.269000000088,81.49699999991572,40920.61800000041,0.0,8,16
aten::_convolution,12916.772000000172,225.90200000083132,40920.61800000041,0.0,8,16
aten::unsqueeze,1107.6149999994523,838.4780000009487,0,0,222,16
aten::cudnn_convolution,12251.847999999838,-1947.5830000002607,37085.617000000464,29296.000000000466,8,16
cudaStreamIsCapturing,700.9590000004246,700.9590000004246,0,0,450,16
cudaMalloc,2268.0789999999397,2268.0789999999397,0,0,10,16
cudaEventRecord,50.22699999985343,50.22699999985343,0,0,9,16
cudaStreamGetPriority,8.017999999850872,8.017999999850872,0,0,8,16
cudaDeviceGetStreamPriorityRange,6.880999999950291,6.880999999950291,0,0,8,16
cudaPeekAtLastError,254.39100000665348,254.39100000665348,0,0,2096,16
"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,0,24.253000000331667,24.253000000331667,8,16
cudaMemsetAsync,6918.865999999776,6918.865999999776,0,0,1216,16
_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1,0,0,8978.778000000108,8978.778000000108,4,16
aten::reshape,10164.615000000485,5061.960000012448,0,0,2522,16
aten::view,12280.690999986284,12280.690999986284,0,0,6656,16
aten::add_,682.743000000075,572.3330000000424,3835.0009999999456,3835.0009999999456,72,16
aten::squeeze,48.35199999989709,39.12200000001758,0,0,8,16
aten::gelu,6260.405999999348,3873.0610000007873,23375.6369999991,23375.6369999991,232,16
Unrecognized,373295.117,373295.117,19183.937000000762,19183.937000000762,31,16
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,30366.127000000066,30366.127000000066,44,16
aten::permute,34.33299999992596,28.56799999967916,0,0,4,16
aten::add,23296.48500000214,15835.44400000188,27996.73600000133,27996.73600000133,876,16
aten::dropout,873.594999999099,873.594999999099,0,0,936,16
aten::layer_norm,43039.83800000278,3572.9370000006165,42120.590999997774,0.0,712,16
aten::native_layer_norm,39466.901000002166,16677.05900000382,42120.590999997774,19947.016999998188,712,16
aten::contiguous,14296.035999999192,298.7639999993844,48776.283999999214,0.0,148,16
aten::clone,18565.285000000542,1573.1280000009428,49988.386999998984,0.0,264,16
aten::empty_like,3961.0579999977926,1111.7089999993623,0,0,304,16
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,23375.6369999991,23375.6369999991,232,16
aten::linear,430550.2399999993,17749.842999993256,480722.2969999948,0.0,1844,16
aten::t,13746.33100000619,5967.113000002457,0,0,1908,16
aten::transpose,21115.354000001185,15847.920999997383,0,0,4980,16
aten::addmm,126540.66099999899,55369.37399998985,392777.4639999952,382187.22699999483,1552,16
cudaOccupancyMaxActiveBlocksPerMultiprocessor,763.6090000014374,413.5390000014595,10908.310999999987,0.0,144,16
_5x_cudnn_volta_scudnn_128x128_relu_small_nn_v1,0,0,20292.969000000026,20292.969000000026,4,16
aten::matmul,263764.892000002,3213.634000002072,87944.83299999955,0.0,292,16
aten::mm,258731.73499999772,2590.2269999972486,87944.83299999955,87341.80299999964,292,16
aten::_unsafe_view,664.329000002559,664.329000002559,0,0,292,16
