batch_idx,memory_cpu_mb,memory_gpu0_mb,memory_gpu1_mb,batch_size,sample_output
0,1766.421875,19.80712890625,147.93115234375,16,' I'
1,1789.12109375,19.80712890625,147.93115234375,16,''
2,2274.86328125,19.80712890625,147.93115234375,16,''
3,2274.87890625,19.80712890625,147.93115234375,16,' I'
4,2274.87890625,19.80712890625,147.93115234375,16,''
5,2274.87890625,19.80712890625,147.93115234375,16,'真'
6,2274.87890625,19.80712890625,147.93115234375,16,""" I'm not."""
7,2274.87890625,19.80712890625,147.93115234375,16,'真真真真真真真真真真真真真真真真真真真真真真真真真'
8,2274.87890625,19.80712890625,147.93115234375,16,''
9,2274.87890625,19.80712890625,147.93115234375,16,'誓'
10,2274.87890625,19.80712890625,147.93115234375,16,'哎呀'
11,2274.87890625,19.80712890625,147.93115234375,16,' I'
12,2274.87890625,19.80712890625,147.93115234375,16,''
13,2274.87890625,19.80712890625,147.93115234375,16,' I'
14,2274.87890625,19.80712890625,147.93115234375,16,''
15,2274.87890625,19.80712890625,147.93115234375,16,""" I'm not."""
