batch_idx,memory_cpu_mb,memory_gpu_mb,batch_size,sample_output
0,1579.125,161.6396484375,8,' I'
1,1600.00390625,161.6396484375,8,'真真真真真真真真真真真真真真真真真真真真真真真真真'
2,2008.41796875,161.6396484375,8,''
3,2008.54296875,161.6396484375,8,''
4,2008.54296875,161.6396484375,8,''
5,2008.54296875,161.6396484375,8,''
6,2008.54296875,161.6396484375,8,' I'
7,2008.54296875,161.6396484375,8,""" I'm not."""
8,2008.54296875,161.6396484375,8,''
9,2008.54296875,161.6396484375,8,''
10,2008.54296875,161.6396484375,8,'真'
11,2008.54296875,161.6396484375,8,' I'
12,2008.54296875,161.6396484375,8,""" I'm not."""
13,2008.54296875,161.6396484375,8,""" I'm not."""
14,2008.54296875,161.6396484375,8,'真真真真真真真真真真真真真真真真真真真真真真真真真'
15,2008.54296875,161.6396484375,8,''
16,2008.54296875,161.6396484375,8,''
17,2008.54296875,161.6396484375,8,' I'
18,2008.54296875,161.6396484375,8,'誓'
19,2008.54296875,161.6396484375,8,''
20,2008.54296875,161.6396484375,8,'哎呀'
21,2008.54296875,161.6396484375,8,''
22,2008.54296875,161.6396484375,8,' I'
23,2008.54296875,161.6396484375,8,''
24,2008.54296875,161.6396484375,8,''
25,2008.54296875,161.6396484375,8,''
26,2008.54296875,161.6396484375,8,' I'
27,2008.54296875,161.6396484375,8,''
28,2008.54296875,161.6396484375,8,''
29,2008.54296875,161.6396484375,8,'真'
30,2008.54296875,161.6396484375,8,""" I'm not."""
31,2008.54296875,161.6396484375,8,'真真真真真真真真真真真真真真真真真真真真真真真真真'
